first_name,last_name,position,team,timestamp,type
Markieff,Morris,"PF,C",D-League All-Stars,"Thu, 25 Feb 2016 21:02:29",drop
Steven,Adams,C,Thailandia,"Thu, 25 Feb 2016 01:32:45",add
Jerami,Grant,"SF,PF",Thailandia,"Thu, 25 Feb 2016 01:32:45",drop
Justise,Winslow,"SF,PF",Thailandia,"Thu, 25 Feb 2016 01:31:04",add
Lance,Stephenson,"SG,SF",Thailandia,"Thu, 25 Feb 2016 01:31:04",drop
Brandon,Jennings,PG,Thailandia,"Tue, 23 Feb 2016 11:52:17",add
Kris,Humphries,"PF,C",Thailandia,"Tue, 23 Feb 2016 11:52:17",drop
D'Angelo,Russell,PG,Thailandia,"Tue, 23 Feb 2016 03:36:17",add
Norris,Cole,"PG,SG",Thailandia,"Tue, 23 Feb 2016 03:36:17",drop
Alex,Len,"PF,C",Greendale CC,"Mon, 22 Feb 2016 22:00:27",add
Jose,Calderon,PG,Greendale CC,"Mon, 22 Feb 2016 22:00:27",drop
Patty,Mills,PG,Greendale CC,"Mon, 22 Feb 2016 01:53:42",add
Mario,Hezonja,SG,Greendale CC,"Mon, 22 Feb 2016 01:53:42",drop
Lance,Stephenson,"SG,SF",Thailandia,"Sun, 21 Feb 2016 23:39:09",add
Jusuf,Nurkic,C,Thailandia,"Sun, 21 Feb 2016 23:39:09",drop
Michael,Carter-Williams,PG,D-League All-Stars,"Sun, 21 Feb 2016 18:27:26",add
Brandon,Knight,"PG,SG",D-League All-Stars,"Sun, 21 Feb 2016 18:27:26",drop
Mario,Chalmers,"PG,SG",Greendale CC,"Sun, 21 Feb 2016 03:04:55",add
Meyers,Leonard,"PF,C",Greendale CC,"Sun, 21 Feb 2016 03:04:55",drop
Jusuf,Nurkic,C,Thailandia,"Sat, 20 Feb 2016 23:58:37",add
Josh,McRoberts,"PF,C",Thailandia,"Sat, 20 Feb 2016 23:58:37",drop
Jamal,Crawford,"SG,SF",Adam Silver,"Sat, 20 Feb 2016 23:05:31",add
Kobe,Bryant,"SG,SF",Cool Cats,"Sat, 20 Feb 2016 14:49:14",add
D'Angelo,Russell,PG,Cool Cats,"Sat, 20 Feb 2016 14:49:14",drop
Kris,Humphries,"PF,C",Thailandia,"Sat, 20 Feb 2016 13:13:05",add
Timofey,Mozgov,C,Thailandia,"Sat, 20 Feb 2016 13:13:05",drop
Jared,Dudley,"SG,SF",Triple Double No Ast,"Sat, 20 Feb 2016 03:23:49",drop
Jon,Leuer,"PF,C",Thailandia,"Sat, 20 Feb 2016 00:09:31",add
Alex,Len,"PF,C",Thailandia,"Sat, 20 Feb 2016 00:09:31",drop
Allen,Crabbe,"PG,SG",Triple Double No Ast,"Fri, 19 Feb 2016 23:57:08",add
C.J.,Miles,"SG,SF",Triple Double No Ast,"Fri, 19 Feb 2016 23:57:08",drop
Josh,McRoberts,"PF,C",Thailandia,"Fri, 19 Feb 2016 23:41:10",add
Mario,Chalmers,"PG,SG",Thailandia,"Fri, 19 Feb 2016 23:41:10",drop
Ian,Mahinmi,C,D-League All-Stars,"Fri, 19 Feb 2016 22:24:48",add
Tony,Allen,"SG,SF",D-League All-Stars,"Fri, 19 Feb 2016 22:24:48",drop
Mario,Chalmers,"PG,SG",Thailandia,"Fri, 19 Feb 2016 20:27:47",add
Stanley,Johnson,"SG,SF",Thailandia,"Fri, 19 Feb 2016 20:27:47",drop
Mario,Hezonja,SG,Greendale CC,"Fri, 19 Feb 2016 02:47:44",add
Jeff,Green,"SG,SF",Greendale CC,"Fri, 19 Feb 2016 02:47:44",drop
Eric,Gordon,SG,Cool Cats,"Thu, 18 Feb 2016 18:01:41",add
DeMarre,Carroll,"SF,PF",Cool Cats,"Thu, 18 Feb 2016 18:01:41",drop
Jerami,Grant,"SF,PF",Thailandia,"Thu, 18 Feb 2016 16:27:02",add
Michael,Carter-Williams,PG,Thailandia,"Thu, 18 Feb 2016 16:27:02",drop
Brandan,Wright,"PF,C",Triple Double No Ast,"Mon, 15 Feb 2016 13:24:57",add
Michael,Kidd-Gilchrist,SF,Triple Double No Ast,"Mon, 15 Feb 2016 13:24:57",drop
Bobby,Portis,"PF,C",Adam Silver,"Fri, 12 Feb 2016 00:37:05",add
Patrick,Beverley,"PG,SG",Adam Silver,"Fri, 12 Feb 2016 00:37:05",drop
DeMarre,Carroll,"SF,PF",Cool Cats,"Thu, 11 Feb 2016 10:38:40",add
Jerryd,Bayless,"PG,SG",Cool Cats,"Thu, 11 Feb 2016 10:38:40",drop
